player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Erling Haaland,9,no NOR,FW,24-139,90,1,0,0,0,3,2,0,0,19,0,0,0,0.7,0.7,0.0,2,0,8,13,61.5,1,8,0,0,0
Matheus Nunes,27,pt POR,"LW,RB",26-102,90,0,1,0,0,1,0,0,0,82,5,2,2,0.1,0.1,0.3,6,1,62,69,89.9,2,54,7,5,3
Sávio,26,br BRA,RW,20-241,78,0,0,0,0,3,1,0,0,32,2,0,0,0.3,0.3,0.1,2,0,23,25,92.0,2,29,1,2,1
Jeremy Doku,11,be BEL,RW,22-194,12,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,6,9,66.7,1,9,1,1,1
Kevin De Bruyne,17,be BEL,AM,33-162,85,0,0,0,0,1,0,0,0,63,0,0,0,0.0,0.0,0.6,5,1,40,56,71.4,6,40,2,1,0
Jack Grealish,10,eng ENG,LW,29-088,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,6,0,0,0
İlkay Gündoğan,19,de GER,DM,34-044,90,0,0,0,0,2,0,0,0,123,1,1,1,0.1,0.1,0.0,3,0,105,114,92.1,10,82,3,0,0
Bernardo Silva,20,pt POR,DM,30-119,90,0,1,0,0,0,0,0,0,75,0,2,3,0.0,0.0,0.2,3,1,50,66,75.8,7,50,2,1,0
Rico Lewis,82,eng ENG,LB,20-016,83,1,0,0,0,1,1,2,1,65,0,0,0,0.2,0.2,0.0,1,0,51,56,91.1,7,45,3,2,0
Joško Gvardiol,24,hr CRO,"CB,LB",22-319,90,0,0,0,0,1,0,0,0,127,2,1,3,0.1,0.1,0.0,1,1,100,112,89.3,6,89,0,0,0
Rúben Dias,3,pt POR,CB,27-207,90,0,0,0,0,0,0,0,0,126,1,1,4,0.0,0.0,0.0,0,0,110,116,94.8,4,94,2,0,0
Kyle Walker,2,eng ENG,"RB,CB",34-193,90,0,0,0,0,0,0,0,0,87,3,0,1,0.0,0.0,0.0,0,0,72,82,87.8,11,54,0,0,0
Stefan Ortega,18,de GER,GK,32-031,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,35,41,85.4,0,34,0,0,0
