player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Isaac Success,10,ng NGA,FW,22-300,84,0,0,0,0,3,1,0,0,37,0,0,0,0.2,0.2,0.5,8,0,17,23,73.9,5,31,2,3,2
Nathaniel Chalobah,14,eng ENG,DM,23-326,6,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,1,3,0,1,0
Gerard Deulofeu,7,es ESP,FW,24-235,65,0,0,0,0,4,0,0,0,25,0,0,0,0.8,0.8,0.1,3,0,14,16,87.5,5,17,3,0,0
Andre Gray,18,jm JAM,FW,27-130,25,0,0,0,0,0,0,1,0,4,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,1,3,0,0,0
Roberto Pereyra,37,ar ARG,AM,27-300,90,0,0,0,0,1,0,0,0,49,0,0,1,0.1,0.1,0.1,3,0,29,37,78.4,8,34,2,4,0
Will Hughes,19,eng ENG,AM,23-200,76,0,0,0,0,1,0,1,0,35,1,0,2,0.1,0.1,0.0,2,0,16,26,61.5,0,24,0,0,0
Stefano Okaka,33,it ITA,"FW,AM",29-086,14,0,0,0,0,1,0,1,0,8,0,0,1,0.5,0.5,0.0,0,0,2,5,40.0,1,6,0,1,1
Étienne Capoue,29,fr FRA,DM,30-115,90,0,0,0,0,2,0,1,0,81,1,3,0,0.1,0.1,0.1,0,0,63,70,90.0,11,48,0,0,0
Abdoulaye Doucouré,16,ml MLI,"DM,AM",25-306,90,0,0,0,0,0,0,0,0,79,3,2,2,0.0,0.0,0.5,2,0,58,71,81.7,6,54,3,1,0
José Holebas,25,gr GRE,LB,34-129,90,0,0,0,0,0,0,1,0,89,0,0,2,0.0,0.0,0.5,5,0,52,79,65.8,9,36,1,1,0
Craig Cathcart,15,nir NIR,CB,29-270,90,0,0,0,0,2,0,0,0,67,1,3,0,0.2,0.2,0.0,0,0,44,51,86.3,2,35,0,0,0
Adrian Mariappa,6,jm JAM,CB,32-031,90,0,0,0,0,2,0,0,0,63,1,2,3,0.2,0.2,0.0,2,0,37,46,80.4,3,40,0,0,0
Kiko Femenía,21,es ESP,RB,27-274,90,0,0,0,0,0,0,0,0,56,1,1,1,0.0,0.0,0.0,1,0,41,46,89.1,2,36,0,0,0
Ben Foster,26,eng ENG,GK,35-214,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,15,33,45.5,0,15,0,0,0
