player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Danny Welbeck,18,eng ENG,FW,32-179,74,0,0,0,0,3,0,0,0,28,1,1,0,0.3,0.3,0.8,5,0,18,20,90.0,1,19,2,1,1
Deniz Undav,21,de GER,FW,26-309,16,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,6,1,0,0
Kaoru Mitoma,22,jp JPN,"LW,LM",26-004,90,0,0,0,0,5,2,0,0,50,2,2,2,1.3,1.3,0.0,3,0,28,34,82.4,4,37,7,4,1
Facundo Buonanotte,40,ar ARG,"RW,RM",18-152,74,0,0,0,0,2,1,0,0,36,0,0,0,0.2,0.2,0.1,3,0,20,25,80.0,4,25,1,5,3
Joël Veltman,34,nl NED,RB,31-129,16,0,0,0,0,0,0,1,0,8,0,0,0,0.0,0.0,0.0,1,0,6,8,75.0,1,6,0,0,0
Julio Enciso,20,py PAR,AM,19-121,51,1,0,0,0,2,1,0,0,19,1,0,0,0.1,0.1,0.0,2,0,6,10,60.0,1,12,1,4,2
Evan Ferguson,28,ie IRL,FW,18-217,39,0,0,0,0,2,1,0,0,18,0,0,0,0.1,0.1,0.0,2,0,7,12,58.3,2,15,0,0,0
Moisés Caicedo,25,ec ECU,"DM,CM",21-203,90,0,0,0,0,1,0,0,0,55,1,4,2,0.1,0.1,0.0,2,0,39,45,86.7,2,33,1,0,0
Billy Gilmour,27,sct SCO,DM,21-347,51,0,0,0,0,1,1,0,0,39,0,2,0,0.1,0.1,0.0,2,0,29,34,85.3,1,17,0,2,1
Alexis Mac Allister,10,ar ARG,CM,24-151,39,0,0,0,0,1,0,0,0,28,1,0,0,0.0,0.0,0.0,4,0,23,26,88.5,2,22,2,1,0
Pervis Estupiñán,30,ec ECU,LB,25-123,90,0,0,0,0,2,0,0,0,47,2,0,1,0.1,0.1,0.4,2,0,29,36,80.6,3,26,2,1,0
Levi Colwill,6,eng ENG,CB,20-087,90,0,1,0,0,0,0,0,0,44,0,0,1,0.0,0.0,0.0,2,1,33,40,82.5,2,18,0,0,0
Jan Paul van Hecke,29,nl NED,CB,22-350,90,0,0,0,0,0,0,1,0,43,3,2,0,0.0,0.0,0.0,1,0,30,33,90.9,3,22,0,0,0
Pascal Groß,13,de GER,"RB,RM",31-343,90,0,0,0,0,1,1,0,0,58,1,0,2,0.0,0.0,0.5,4,0,43,50,86.0,5,30,1,0,0
Jason Steele,23,eng ENG,GK,32-279,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,1,1,26,34,76.5,0,19,0,0,0
