player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Stefano Okaka,33,it ITA,FW,28-255,69,0,0,0,0,1,0,0,0,30,2,0,0,0.0,0.0,0.1,4,0,12,21,57.1,2,22,2,2,1
Kiko Femenía,21,es ESP,"RM,RW",27-078,21,0,0,0,0,0,0,0,0,11,2,2,1,0.0,0.0,0.0,0,0,2,5,40.0,0,4,0,0,0
Troy Deeney,9,eng ENG,FW,29-296,90,0,0,0,0,3,1,0,0,46,2,0,0,0.1,0.1,0.1,4,0,19,37,51.4,4,15,0,0,0
Roberto Pereyra,37,ar ARG,LM,27-104,54,0,0,0,0,1,0,0,0,26,0,0,0,0.0,0.0,0.0,3,0,13,20,65.0,3,20,2,3,3
Richarlison,11,br BRA,"LM,LW",20-346,36,0,0,0,0,2,1,0,0,12,0,1,1,0.1,0.1,0.0,0,0,1,5,20.0,0,8,2,0,0
Étienne Capoue,29,fr FRA,CM,29-284,90,0,0,0,0,0,0,0,0,56,3,0,1,0.0,0.0,0.0,2,0,34,46,73.9,3,31,0,2,0
Abdoulaye Doucouré,16,ml MLI,CM,25-110,90,0,0,0,0,1,0,1,0,67,3,4,1,0.0,0.0,0.0,0,0,40,54,74.1,9,39,0,1,1
Will Hughes,19,eng ENG,"RM,CM",23-004,78,0,0,0,0,2,0,0,0,44,3,3,0,0.1,0.1,0.0,3,0,22,30,73.3,4,25,1,1,0
Andre Gray,18,jm JAM,FW,26-299,12,0,0,0,0,0,0,0,0,3,0,1,0,0.0,0.0,0.0,2,0,3,3,100.0,0,2,0,0,0
José Holebas,25,gr GRE,LB,33-298,90,0,0,0,0,0,0,0,0,67,2,0,0,0.0,0.0,0.1,1,0,30,59,50.8,2,26,3,2,1
Christian Kabasele,27,be BEL,CB,27-056,90,0,0,0,0,1,1,0,0,37,4,0,2,0.0,0.0,0.0,0,0,20,24,83.3,1,18,1,0,0
Craig Cathcart,15,nir NIR,CB,29-074,90,0,0,0,0,2,1,1,0,44,1,0,1,0.1,0.1,0.0,3,0,25,35,71.4,3,24,2,0,0
Adrian Mariappa,6,jm JAM,RB,31-200,90,0,0,0,0,1,0,1,0,54,3,1,1,0.0,0.0,0.0,1,0,25,43,58.1,5,19,1,1,0
Orestis Karnezis,30,gr GRE,GK,32-284,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,17,23,73.9,0,14,0,0,0
