player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Raúl Jiménez,7,mx MEX,FW,33-235,73,0,0,0,0,4,1,0,0,24,0,1,1,0.2,0.2,0.0,1,0,14,16,87.5,2,10,1,2,0
Rodrigo Muniz,9,br BRA,FW,23-236,17,1,0,0,0,2,2,0,0,10,0,0,0,0.5,0.5,0.0,0,0,2,6,33.3,0,5,0,1,1
Antonee Robinson,33,us USA,LW,27-140,90,0,0,0,0,1,1,1,0,67,1,2,0,0.2,0.2,0.1,4,0,42,57,73.7,3,40,5,3,2
Adama Traoré,11,es ESP,RW,28-336,66,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.2,2,0,13,16,81.3,2,16,4,2,2
Harry Wilson,8,wls WAL,RW,27-279,24,1,0,0,0,2,1,0,0,14,0,0,2,0.7,0.7,0.1,1,1,7,9,77.8,1,4,0,0,0
Alex Iwobi,17,ng NGA,CM,28-237,89,0,0,0,0,1,0,0,0,79,1,1,1,0.0,0.0,0.2,6,0,50,70,71.4,7,50,8,6,4
Ryan Sessegnon,30,eng ENG,CM,24-222,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0
Saša Lukić,20,rs SRB,CM,28-135,90,0,1,0,0,0,0,1,0,76,1,2,1,0.0,0.0,0.4,1,1,63,69,91.3,5,42,1,2,2
Andreas Pereira,18,br BRA,CM,28-360,73,0,0,0,0,2,1,0,0,40,1,0,1,0.1,0.1,0.0,3,0,29,34,85.3,6,21,0,1,0
Tom Cairney,10,sct SCO,CM,33-341,17,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,15,17,88.2,1,7,0,0,0
Calvin Bassey,3,ng NGA,LB,24-361,90,0,0,0,0,1,1,0,0,98,1,3,1,0.1,0.1,0.0,3,0,83,86,96.5,8,61,2,5,2
Joachim Andersen,5,dk DEN,CB,28-209,90,0,0,0,0,0,0,1,0,79,0,1,1,0.0,0.0,0.0,1,0,61,72,84.7,1,45,0,1,1
Issa Diop,31,fr FRA,CB,27-352,90,0,0,0,0,0,0,0,0,79,1,1,1,0.0,0.0,0.0,0,0,64,69,92.8,2,44,0,0,0
Timothy Castagne,21,be BEL,RB,29-021,90,0,1,0,0,1,0,0,0,56,2,1,1,0.0,0.0,0.7,5,1,33,43,76.7,4,23,3,1,0
Bernd Leno,1,de GER,GK,32-297,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,37,41,90.2,0,33,0,0,0
