player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Gonzalo Higuaín,9,ar ARG,FW,31-090,90,0,0,0,0,6,2,0,0,28,2,1,0,0.3,0.3,0.1,4,0,11,17,64.7,1,17,0,2,1
Eden Hazard,10,be BEL,"LW,AM",28-062,90,1,0,0,0,1,1,0,0,97,1,1,0,0.0,0.0,0.1,6,1,65,86,75.6,1,59,6,9,5
Pedro,11,es ESP,RW,31-225,60,0,0,0,0,1,1,0,0,52,1,0,1,0.0,0.0,0.2,3,0,38,45,84.4,3,37,1,3,2
Callum Hudson-Odoi,20,eng ENG,RW,18-123,30,0,0,0,0,0,0,0,0,26,0,1,0,0.0,0.0,0.0,1,0,15,23,65.2,0,17,1,2,1
Mateo Kovačić,17,hr CRO,LM,24-308,55,0,0,0,0,1,0,0,0,53,0,1,1,0.0,0.0,0.0,0,0,44,47,93.6,5,26,1,2,2
Ruben Loftus-Cheek,12,eng ENG,"DM,LM",23-046,35,0,0,0,0,2,1,0,0,36,0,0,0,0.2,0.2,0.1,6,0,21,25,84.0,1,17,1,4,4
Jorginho,5,it ITA,CM,27-080,71,0,0,0,0,0,0,0,0,107,3,0,2,0.0,0.0,0.0,2,0,86,101,85.1,16,49,3,1,1
Willian,22,br BRA,LW,30-213,19,0,1,0,0,2,1,0,0,31,0,0,0,0.1,0.1,0.1,5,1,19,26,73.1,2,17,2,3,0
N'Golo Kanté,7,fr FRA,"RM,DM",27-346,90,0,0,0,0,0,0,0,0,75,3,1,3,0.0,0.0,0.1,6,0,56,64,87.5,6,38,0,2,0
Emerson Palmieri,33,it ITA,LB,24-219,90,0,0,0,0,1,0,0,0,132,2,0,2,0.0,0.0,0.1,3,0,111,124,89.5,3,89,14,7,5
David Luiz,30,br BRA,CB,31-322,90,0,0,0,0,2,0,0,0,121,0,0,2,0.1,0.1,0.0,1,0,105,116,90.5,10,80,2,0,0
Antonio Rüdiger,2,de GER,CB,26-007,90,0,0,0,0,3,0,1,0,96,0,0,0,0.1,0.1,0.0,1,0,92,92,100.0,5,58,2,0,0
César Azpilicueta,28,es ESP,RB,29-194,90,0,0,0,0,3,0,0,0,112,2,0,1,0.1,0.1,0.0,2,0,93,103,90.3,4,70,3,1,0
Kepa Arrizabalaga,1,es ESP,GK,24-158,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,26,26,100.0,0,18,0,0,0
