player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Carlos Vinícius,30,br BRA,FW,28-036,90,1,0,0,0,1,1,0,0,21,2,0,1,0.1,0.1,0.0,0,0,4,10,40.0,1,13,0,1,1
Bobby De Cordova-Reid,14,jm JAM,LW,30-087,75,0,0,0,0,1,0,0,0,24,1,0,2,0.0,0.0,0.0,0,0,11,15,73.3,1,7,0,1,0
Daniel James,21,wls WAL,RW,25-171,15,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,5,0,0,0
Harry Wilson,8,wls WAL,RW,26-039,75,0,1,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.1,1,1,13,16,81.3,0,10,0,0,0
Manor Solomon,11,il ISR,LW,23-280,15,0,0,0,0,1,0,0,0,20,1,0,1,0.0,0.0,0.0,0,0,12,13,92.3,1,11,0,2,1
Andreas Pereira,18,br BRA,AM,27-119,57,0,0,0,0,0,0,0,0,22,0,1,0,0.0,0.0,0.0,2,1,14,22,63.6,1,11,0,0,0
Tom Cairney,10,sct SCO,AM,32-100,33,0,0,0,0,0,0,0,0,33,2,1,2,0.0,0.0,0.0,0,0,20,27,74.1,3,23,2,2,2
João Palhinha,26,pt POR,DM,27-295,90,0,0,0,0,0,0,0,0,47,3,1,1,0.0,0.0,0.0,1,0,35,43,81.4,3,16,1,1,1
Harrison Reed,6,eng ENG,DM,28-093,75,0,0,0,0,0,0,0,0,31,2,1,2,0.0,0.0,0.0,0,0,18,22,81.8,0,12,0,0,0
Saša Lukić,28,rs SRB,DM,26-260,15,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,10,11,90.9,0,6,0,0,0
Antonee Robinson,33,us USA,LB,25-265,90,0,0,0,0,0,0,0,0,69,3,2,3,0.0,0.0,0.0,1,0,43,57,75.4,1,36,1,1,1
Tim Ream,13,us USA,CB,35-207,20,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,1,4,1,0,0
Issa Diop,31,fr FRA,CB,26-111,70,0,0,0,0,0,0,0,0,62,0,0,0,0.0,0.0,0.0,0,0,47,54,87.0,1,41,0,0,0
Tosin Adarabioyo,4,eng ENG,CB,25-218,90,0,0,0,0,0,0,0,0,49,2,0,0,0.0,0.0,0.0,0,0,34,39,87.2,3,25,1,0,0
Kenny Tete,2,nl NED,RB,27-203,90,0,0,0,0,1,0,1,0,43,4,3,1,0.0,0.0,0.0,0,0,25,30,83.3,3,15,3,1,0
Bernd Leno,17,de GER,GK,31-057,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,32,42,76.2,0,32,0,0,0
