player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Patson Daka,20,zm ZAM,FW,26-078,90,0,0,0,0,0,0,0,0,18,0,0,1,0.0,0.0,0.0,0,0,7,10,70.0,0,7,0,1,0
Stephy Mavididi,10,eng ENG,LW,26-209,86,0,1,0,0,0,0,0,0,29,2,2,3,0.0,0.0,0.2,1,1,13,16,81.3,0,14,2,2,0
Bobby De Cordova-Reid,14,jm JAM,LW,31-328,4,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,1,0
Jordan Ayew,18,gh GHA,"RW,AM",33-106,90,1,0,0,0,1,1,1,0,44,2,2,1,0.2,0.2,0.0,1,0,15,29,51.7,0,20,1,1,0
Bilal El Khannouss,11,ma MAR,AM,20-230,63,0,0,0,0,1,0,0,0,23,2,1,1,0.0,0.0,0.0,2,1,15,16,93.8,1,8,0,1,0
Facundo Buonanotte,40,ar ARG,"AM,RW",20-003,27,0,0,0,0,0,0,0,0,15,1,0,1,0.0,0.0,0.0,0,0,7,11,63.6,0,4,0,2,0
Boubakary Soumaré,24,fr FRA,DM,25-303,90,0,0,0,0,0,0,0,0,41,1,3,1,0.0,0.0,0.0,0,0,25,32,78.1,3,18,0,1,1
Harry Winks,8,eng ENG,DM,28-328,64,0,0,0,0,0,0,0,0,31,1,0,1,0.0,0.0,0.0,1,0,19,25,76.0,2,15,0,1,0
Oliver Skipp,22,eng ENG,DM,24-101,26,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,7,8,87.5,1,4,0,0,0
Victor Bernth Kristiansen,16,dk DEN,LB,22-010,90,0,0,0,0,0,0,0,0,36,0,2,2,0.0,0.0,0.0,0,0,22,28,78.6,2,15,1,1,0
Jannik Vestergaard,23,dk DEN,CB,32-145,90,0,0,0,0,0,0,1,0,53,1,2,1,0.0,0.0,0.0,0,0,34,40,85.0,0,19,0,0,0
Conor Coady,4,eng ENG,CB,31-305,89,0,0,0,0,0,0,0,0,52,1,0,1,0.0,0.0,0.0,0,0,33,41,80.5,1,23,0,0,0
Caleb Okoli,5,it ITA,CB,23-166,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
James Justin,2,eng ENG,RB,26-307,90,0,0,0,0,2,0,0,0,50,0,3,0,0.1,0.1,0.0,2,0,26,36,72.2,1,16,3,1,0
Jakub Stolarczyk,41,pl POL,GK,24-007,90,0,0,0,0,0,0,0,0,49,1,0,0,0.0,0.0,0.0,0,0,31,44,70.5,0,17,0,0,0
