player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Jean-Philippe Mateta,14,fr FRA,FW,24-250,68,1,0,0,0,5,3,0,0,29,0,1,0,1.5,1.5,0.0,3,1,13,16,81.3,0,11,1,2,1
Christian Benteke,20,be BEL,FW,31-092,22,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,7,1,0,0
Wilfried Zaha,11,ci CIV,LW,29-115,90,1,0,1,1,1,0,0,0,41,1,0,1,0.9,0.1,0.6,5,0,24,30,80.0,3,24,7,3,3
Michael Olise,7,fr FRA,RW,20-083,81,0,0,0,0,2,2,0,0,32,0,1,0,0.1,0.1,0.1,3,0,20,23,87.0,1,16,4,6,4
Will Hughes,12,eng ENG,RM,26-322,9,0,0,0,0,0,0,1,0,3,1,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0
Conor Gallagher,23,eng ENG,"AM,RW",22-027,90,0,0,0,0,2,2,1,0,46,1,4,1,0.1,0.1,0.0,1,0,24,33,72.7,1,15,1,2,2
Jeffrey Schlupp,15,gh GHA,"DM,LM",29-072,90,0,0,0,0,1,0,0,0,51,3,1,3,0.1,0.1,0.1,4,2,22,28,78.6,4,22,2,3,2
Cheikhou Kouyaté,8,sn SEN,DM,32-074,68,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,17,24,70.8,1,7,0,0,0
Luka Milivojević,4,rs SRB,"DM,CM",30-332,22,0,0,0,0,0,0,0,0,11,2,0,1,0.0,0.0,0.0,0,0,1,6,16.7,0,0,0,0,0
Tyrick Mitchell,3,eng ENG,LB,22-185,90,0,0,0,0,0,0,0,0,77,3,2,2,0.0,0.0,0.0,1,0,33,53,62.3,6,27,0,1,0
Marc Guéhi,6,eng ENG,CB,21-235,90,0,0,0,0,0,0,0,0,46,1,0,1,0.0,0.0,0.0,0,0,26,37,70.3,0,15,0,1,1
Joachim Andersen,16,dk DEN,CB,25-278,90,0,0,0,0,0,0,0,0,48,1,1,0,0.0,0.0,0.2,2,0,26,39,66.7,2,21,0,0,0
Nathaniel Clyne,17,eng ENG,RB,30-334,90,0,0,0,0,0,0,0,0,30,1,1,0,0.0,0.0,0.0,0,0,16,26,61.5,1,7,0,0,0
Vicente Guaita,13,es ESP,GK,35-054,90,0,0,0,0,0,0,1,0,36,0,0,0,0.0,0.0,0.0,1,0,19,32,59.4,0,17,0,0,0
