player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Jean-Philippe Mateta,14,fr FRA,FW,25-063,53,0,0,0,0,2,0,0,0,20,0,0,0,0.1,0.1,0.2,1,0,9,11,81.8,1,10,0,0,0
Odsonne Édouard,22,fr FRA,FW,24-226,37,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,1,1,12,13,92.3,2,9,0,0,0
Wilfried Zaha,11,ci CIV,LM,29-293,90,1,0,0,0,4,1,0,0,41,1,0,0,0.5,0.5,0.0,0,0,18,25,72.0,2,36,3,5,2
Eberechi Eze,10,eng ENG,CM,24-062,75,0,0,0,0,1,0,0,0,46,2,1,0,0.0,0.0,0.1,3,0,31,38,81.6,2,31,2,0,0
Jordan Ayew,9,gh GHA,RM,30-353,15,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.0,1,0,3,4,75.0,0,1,0,1,1
Jeffrey Schlupp,15,gh GHA,CM,29-250,75,0,0,0,0,2,2,0,0,38,1,0,0,0.1,0.1,0.0,2,0,24,29,82.8,2,22,2,2,1
Luka Milivojević,4,rs SRB,CM,31-145,15,0,0,0,0,0,0,0,0,15,1,1,0,0.0,0.0,0.0,0,0,11,13,84.6,1,4,0,0,0
Michael Olise,7,fr FRA,"RM,CM",20-261,79,0,0,0,0,4,1,0,0,57,1,1,2,0.2,0.2,0.2,6,0,32,44,72.7,6,42,7,5,3
Tyrick Mitchell,3,eng ENG,LB,22-363,11,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,2,0,0,0
Cheick Doucouré,28,ml MLI,"DM,CM",22-234,90,0,1,0,0,0,0,1,0,84,6,2,0,0.0,0.0,0.1,3,1,58,68,85.3,7,38,3,0,0
Joel Ward,2,eng ENG,"LB,CB",32-305,90,0,0,0,0,0,0,0,0,67,1,1,0,0.0,0.0,0.0,1,0,47,59,79.7,1,29,0,0,0
Marc Guéhi,6,eng ENG,CB,22-048,90,0,0,0,0,0,0,0,0,63,3,2,1,0.0,0.0,0.0,0,0,48,53,90.6,2,32,0,0,0
Joachim Andersen,16,dk DEN,CB,26-091,90,0,0,0,0,0,0,0,0,86,1,1,1,0.0,0.0,0.0,2,0,54,69,78.3,7,43,0,1,0
Nathaniel Clyne,17,eng ENG,RB,31-147,90,0,0,0,0,0,0,0,0,56,4,0,0,0.0,0.0,0.1,3,0,39,45,86.7,0,32,1,0,0
Vicente Guaita,13,es ESP,GK,35-232,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,20,32,62.5,0,24,0,0,0
